
start_list
Boys 100m Backstroke,Preliminaries
1,,
2,,
3,ISB,STEFAN STANLEY
4,ISB,AYDIN YOLAR
5,ISM,ETHAN QUE
6,,
7,,


start_list
Boys 100m Backstroke,Preliminaries
1,,
2,ISB,PRAAN PISITTHAKARN
3,TAS,JUSTIN HSU
4,ISKL,WALTER GUISCARDO
5,ISB,ANDERS BREKKE
6,ISKL,EDVARD FAGERVIK
7,ISB,SAM PRITCHETT


start_list
Boys 100m Backstroke,Preliminaries
1,,
2,ISM,HARRY CHO
3,SAS,CONNOR BARNES
4,TAS,SHAWN LIN
5,SAS,TIM HAGEMEISTER
6,SAS,FRANKIE HEARNE
7,JIS,JAKUB MIERZEJEWSKI


start_list
Boys 100m Backstroke,Preliminaries
1,TAS,PATRICK CHEN
2,JIS,SUNG CHOE
3,ISKL,KEVIN DAVIDSON
4,SAS,KEVIN TUNG
5,TAS,IAN SILVERSTEIN
6,ISKL,JACK COYLE
7,JIS,JULIUS UTAMA
