
start_list
Boys 100m Breaststroke,Preliminaries
1,,
2,JIS,ABYASA KAMDANI
3,SAS,FRANKIE HEARNE
4,JIS,CRAIG SIMPSON
5,ISKL,CHANDLER FOULIS
6,JIS,ISAAC WU
7,ISKL,WESLEY JOSLIN


start_list
Boys 100m Breaststroke,Preliminaries
1,,
2,ISM,ETHAN QUE
3,TAS,CARL WEGNER
4,ISB,MARTIN BREKKE
5,SAS,DAVID HO
6,TAS,PHILLIP TENG
7,ISB,JOHN PARK


start_list
Boys 100m Breaststroke,Preliminaries
1,ISKL,KANE EDWARDS
2,ISM,STEVE NAM
3,TAS,JUSTIN HSU
4,SAS,KEI HYOGO
5,ISM,DAIKI KURIYAMA
6,TAS,MICHAEL CHEN
7,ISKL,TONG BOONVANICHYALERT
