

start_list
Boys 200m Freestyle,Preliminaries - Heat 1
1,,
2,,
3,ISB,PRAAN PISITTHAKARN
4,JIS,ARIEF ROWE
5,ISKL,WESLEY JOSLIN
6,,
7,,


start_list
Boys 200m Freestyle,Preliminaries - Heat 2
1,ISKL,KANE EDWARDS
2,ISB,TAKAKI TSUJI
3,ISKL,CHARLIE ELLISON
4,ISB,DAVID SCHWAN
5,TAS,SHAWN LIN
6,ISKL,DANTE CERRON
7,ISM,ROM VILLARICA


start_list
Boys 200m Freestyle,Preliminaries - Heat 3
1,JIS,JAKUB MIERZEJEWSKI
2,TAS,DANIEL WANG
3,SAS,JIHO LEE
4,SAS,KEVIN TUNG
5,TAS,IAN SILVERSTEIN
6,SAS,JONATHAN CHAN
7,JIS,JULIUS UTAMA


start_list
Boys 200m Freestyle,Preliminaries - Heat 4
1,ISM,AVI CONCEPCION
2,TAS,BRIAN CHEANG
3,SAS,ANKIT DAS
4,JIS,JEE HONG
5,ISM,KAIZER SOH
6,ISB,ANDERS BREKKE
7,ISM,CONRAD LEE
