

start_list
Boys 400m Individual Medley,Timed Finals - Heat 1
1,,
2,,
3,TAS,PHILLIP TENG
4,ISKL,CHARLIE ELLISON
5,TAS,RYAN NAM
6,,
7,,


start_list
Boys 400m Individual Medley,Timed Finals - Heat 2
1,ISB,PLEUM PISITTHAKARN
2,ISM,CONRAD LEE
3,JIS,BJORN BERNTSEN
4,ISM,DAIKI KURIYAMA
5,TAS,GABRIEL TONG
6,JIS,ISAAC WU
7,ISM,STURLA BLOM


start_list
Boys 400m Individual Medley,Timed Finals - Heat 3
1,ISKL,JUNYA YOSHIDA
2,SAS,ANKIT DAS
3,ISM, VAN KLAVEREN
4,ISB,MARTIN BREKKE
5,SAS,JAN HAGEMEISTER
6,SAS,KEVIN CLYDESDALE
7,SAS,JIHO LEE
