

start_list
Girls 100m Breaststroke,Preliminaries - Heat 1
1,,
2,,
3,ISM, SAN JOSE
4,ISM,DANIELLE LEE
5,JIS,CLIONA O'HANLON
6,,
7,,


start_list
Girls 100m Breaststroke,Preliminaries - Heat 1
1,,
2,JIS,CECILLIA BAE
3,SAS,MONICA CHRITTON
4,ISKL,MADELINE WILSON
5,ISKL,MEGHAN EDWARDS
6,TAS,JOSEPHINE KUO
7,JIS,JENNI SALLI


start_list
Girls 100m Breaststroke,Preliminaries - Heat 1
1,JIS,TOMOKO WAKE
2,TAS,ANNE CHU
3,ISKL,MARLEE ELLISON
4,SAS,CASSANDRA MAILLET
5,SAS,MACKENZIE HIRSCH
6,ISB,BECCA CHAIRIN
7,ISM,LINDSEY LANGVIN


start_list
Girls 100m Breaststroke,Preliminaries - Heat 1
1,ISM,ANDREA FIECHTER
2,ISB,THANYA CHAT
3,ISB,DANA SAE-ANG
4,ISB,KEATON BLOVAD
5,TAS,BERLIN CHENG
6,SAS,HANNA CHUANG
7,TAS,KAREN WU
