

start_list
Girls 400m Individual Medley,Finals
1,,
2,,
3,ISM,RACHAEL LEE
4,ISB,THANYA CHAT
5,TAS,ANNE TRUONG
6,,
7,,


start_list
Girls 400m Individual Medley,Finals
1,ISKL,CLARISSA KU
2,ISB,BECCA CHAIRIN
3,ISKL,MOONLAN ZHANG
4,TAS,BERLIN CHENG
5,ISB,AIM SAMANTHAI
6,JIS,MEGGI VARNAI
7,JIS,CECILLIA BAE


start_list
Girls 400m Individual Medley,Finals
1,SAS,SOPHIA NAVARRO
2,ISM,LOTTA TOPPARI
3,ISKL,MARLEE ELLISON
4,SAS,KAITLYN RITCHEY
5,SAS,MACKENZIE HIRSCH
6,ISB,SAMANTHA SMITH
7,SAS,MICHAELA SANTILLO
