

start_list
Boys 200m Backstroke,Preliminaries - Heat 1
1,ISB,AYDIN YOLAR
2,ISKL,EDVARD FAGERVIK
3,SAS,KEVIN CLYDESDALE
4,TAS,SHAWN LIN
5,ISB,DAVID SCHWAN
6,SAS,FRANKIE HEARNE
7,ISM,CONRAD LEE


start_list
Boys 200m Backstroke,Preliminaries - Heat 1
1,TAS,MICHAEL CHEN
2,ISM,HARRY CHO
3,ISM,KAIZER SOH
4,JIS,JEE HONG
5,ISB,ANDERS BREKKE
6,ISKL,JACK COYLE
7,ISKL,DANTE CERRON


start_list
Boys 200m Backstroke,Preliminaries - Heat 1
1,JIS,JULIUS UTAMA
2,JIS,SUNG CHOE
3,SAS,TIM HAGEMEISTER
4,SAS,KEVIN TUNG
5,ISKL,WALTER GUISCARDO
6,ISM, VAN KLAVEREN
7,JIS,ARIEF ROWE
