

start_list
Girls 100m Butterfly,Preliminaries - Heat 1
1,JIS,JENNI SALLI
2,JIS,MEGGI VARNAI
3,ISB,EMILY EDWARDS
4,ISB,SAMANTHA SMITH
5,TAS,JESSICA CHEN
6,TAS,ANNE TRUONG
7,TAS,ANNE CHU


start_list
Girls 100m Butterfly,Preliminaries - Heat 1
1,ISM,IVI ILAYA
2,ISM,ANDREA FIECHTER
3,SAS,SOPHIA NAVARRO
4,ISB,EARN KHUNPINIT
5,ISM,LUNA IAI
6,ISB,AIM SAMANTHAI
7,TAS,KATIE FONG


start_list
Girls 100m Butterfly,Preliminaries - Heat 1
1,JIS,JADE DHARMADJI
2,ISKL,TEAH WARD
3,ISKL,JIYOON FRANTZEN
4,ISKL,ISABELLA SCILLITANI
5,SAS,MACKENZIE HIRSCH
6,SAS,BRITTANY FRIED
7,JIS,KELLY ARIFIN
